x-axis,1,2,3
second,Volt,Volt,Volt
-5.1000E-06,+18.7499523E-03,-43.7500477E-03,+112.5001907E-03
-4.9000E-06,+18.7499523E-03,+1.7062499523E+00,+112.5001907E-03
-4.7000E-06,+18.7499523E-03,+3.3937499523E+00,+112.5001907E-03
-4.5000E-06,+18.7499523E-03,+3.3624999523E+00,+112.5001907E-03
-4.3000E-06,+18.7499523E-03,+3.3624999523E+00,+112.5001907E-03
-4.1000E-06,+49.9999523E-03,+3.3624999523E+00,+112.5001907E-03
-3.9000E-06,+18.7499523E-03,+3.3624999523E+00,+112.5001907E-03
-3.7000E-06,+18.7499523E-03,+3.3312499523E+00,+112.5001907E-03
-3.5000E-06,+49.9999523E-03,+3.2999999523E+00,+143.7501907E-03
-3.3000E-06,+18.7499523E-03,+3.3312499523E+00,+175.0001907E-03
-3.1000E-06,-12.5000477E-03,+3.3624999523E+00,+143.7501907E-03
-2.9000E-06,+18.7499523E-03,+3.3624999523E+00,+112.5001907E-03
-2.7000E-06,+18.7499523E-03,+3.3624999523E+00,+112.5001907E-03
-2.5000E-06,-12.5000477E-03,+3.3312499523E+00,+112.5001907E-03
-2.3000E-06,+18.7499523E-03,+3.2999999523E+00,+112.5001907E-03
-2.1000E-06,+18.7499523E-03,+3.3312499523E+00,+112.5001907E-03
-1.9000E-06,-12.5000477E-03,+3.3312499523E+00,+112.5001907E-03
-1.7000E-06,+18.7499523E-03,+3.2999999523E+00,+112.5001907E-03
-1.5000E-06,+49.9999523E-03,+3.2999999523E+00,+112.5001907E-03
-1.3000E-06,+18.7499523E-03,+3.3312499523E+00,+112.5001907E-03
-1.1000E-06,-12.5000477E-03,+3.3624999523E+00,+143.7501907E-03
-900.0E-09,-12.5000477E-03,+3.3312499523E+00,+143.7501907E-03
-700.0E-09,-12.5000477E-03,+3.3312499523E+00,+112.5001907E-03
-500.0E-09,+18.7499523E-03,+3.3624999523E+00,+143.7501907E-03
-300.0E-09,+18.7499523E-03,+3.3312499523E+00,+143.7501907E-03
-100.0E-09,+18.7499523E-03,+3.2999999523E+00,+112.5001907E-03
+100.0E-09,+1.7374999523E+00,+1.5812499523E+00,+112.5001907E-03
+300.0E-09,+3.3937499523E+00,-137.5000477E-03,+143.7501907E-03
+500.0E-09,+3.3624999523E+00,-137.5000477E-03,+143.7501907E-03
+700.0E-09,+3.3624999523E+00,-137.5000477E-03,+112.5001907E-03
+900.0E-09,+3.3624999523E+00,-106.2500477E-03,+112.5001907E-03
+1.1000E-06,+3.3624999523E+00,-75.0000477E-03,+112.5001907E-03
+1.3000E-06,+3.3624999523E+00,-75.0000477E-03,+112.5001907E-03
+1.5000E-06,+3.3624999523E+00,-75.0000477E-03,+112.5001907E-03
+1.7000E-06,+3.3624999523E+00,-106.2500477E-03,+112.5001907E-03
+1.9000E-06,+3.3312499523E+00,-75.0000477E-03,+112.5001907E-03
+2.1000E-06,+3.2999999523E+00,-43.7500477E-03,+112.5001907E-03
+2.3000E-06,+3.2999999523E+00,-75.0000477E-03,+112.5001907E-03
+2.5000E-06,+3.2999999523E+00,-106.2500477E-03,+112.5001907E-03
+2.7000E-06,+3.3312499523E+00,-106.2500477E-03,+112.5001907E-03
+2.9000E-06,+3.3312499523E+00,-106.2500477E-03,+112.5001907E-03
+3.1000E-06,+3.2999999523E+00,-106.2500477E-03,+112.5001907E-03
+3.3000E-06,+3.3312499523E+00,-75.0000477E-03,+112.5001907E-03
+3.5000E-06,+3.3624999523E+00,-75.0000477E-03,+112.5001907E-03
+3.7000E-06,+3.3624999523E+00,-75.0000477E-03,+112.5001907E-03
+3.9000E-06,+3.3624999523E+00,-43.7500477E-03,+112.5001907E-03
+4.1000E-06,+3.3312499523E+00,-75.0000477E-03,+112.5001907E-03
+4.3000E-06,+3.3312499523E+00,-106.2500477E-03,+112.5001907E-03
+4.5000E-06,+3.3312499523E+00,-75.0000477E-03,+112.5001907E-03
+4.7000E-06,+3.2999999523E+00,-43.7500477E-03,+143.7501907E-03
+4.9000E-06,+3.2999999523E+00,-12.5000477E-03,+143.7501907E-03
+5.1000E-06,+3.2999999523E+00,+1.7062499523E+00,+112.5001907E-03
+5.3000E-06,+3.2999999523E+00,+3.3624999523E+00,+112.5001907E-03
+5.5000E-06,+3.2999999523E+00,+3.3312499523E+00,+143.7501907E-03
+5.7000E-06,+3.3312499523E+00,+3.3624999523E+00,+143.7501907E-03
+5.9000E-06,+3.3312499523E+00,+3.3624999523E+00,+112.5001907E-03
+6.1000E-06,+3.2999999523E+00,+3.3624999523E+00,+143.7501907E-03
+6.3000E-06,+3.2999999523E+00,+3.3624999523E+00,+143.7501907E-03
+6.5000E-06,+3.2999999523E+00,+3.3624999523E+00,+112.5001907E-03
+6.7000E-06,+3.3312499523E+00,+3.3312499523E+00,+112.5001907E-03
+6.9000E-06,+3.3312499523E+00,+3.2999999523E+00,+112.5001907E-03
+7.1000E-06,+3.2999999523E+00,+3.2999999523E+00,+143.7501907E-03
+7.3000E-06,+3.3312499523E+00,+3.3312499523E+00,+143.7501907E-03
+7.5000E-06,+3.3312499523E+00,+3.3624999523E+00,+112.5001907E-03
+7.7000E-06,+3.2999999523E+00,+3.3624999523E+00,+112.5001907E-03
+7.9000E-06,+3.2999999523E+00,+3.3312499523E+00,+143.7501907E-03
+8.1000E-06,+3.2999999523E+00,+3.2999999523E+00,+143.7501907E-03
+8.3000E-06,+3.3312499523E+00,+3.2999999523E+00,+112.5001907E-03
+8.5000E-06,+3.3624999523E+00,+3.3312499523E+00,+143.7501907E-03
+8.7000E-06,+3.3312499523E+00,+3.3624999523E+00,+175.0001907E-03
+8.9000E-06,+3.2999999523E+00,+3.3312499523E+00,+175.0001907E-03
+9.1000E-06,+3.2999999523E+00,+3.3312499523E+00,+143.7501907E-03
